"Depth","MS_downsampled"
0.1,30.3
0.61,20.6
1.12,24.1
1.63,12.2
3.02,25.7400000000001
3.53,12.54
4.04,13.94
4.52,12.27
5.03,13.16
5.54,22.1899999999997
6.08,10.9
6.59,10.36
7.1,7.84
7.56,20.08
8.07,17
8.58,17.88
9.14,22.96
9.65,16.9555555555555
10.16,19.76
10.65,23.2800000000001
11.16,8.90476190476187
11.67,15.94
12.2,15.86
12.71,22.48
13.22,17.17
13.68,15.04
14.19,6.6840490797546
14.7,11.53
15.26,10.72
15.77,24.0600000000002
16.28,16.78
16.78,10.76
17.29,9.42000000000002
17.8,17.31
18.325,19.5
18.83,9.2
19.34,13.9699999999999
19.84,40.1399999999994
20.35,8.96999999999997
21.02,10.8888888888889
21.51,15.2000000000001
22.05,9.2
22.54,13.68
23.04,14.3
23.54,20.25
24.11,17.4800000000001
24.62,19.4
25.13,5.4
25.63,8.27999999999997
26.145,6.55227272727273
26.645,8.5
27.175,7.6
27.67,14.1500000000005
28.14,10.96
28.65,12.4799999999999
29.21,18.5
29.72,14.77
30.23,6.41000000000001
30.74,12.7
31.25,19.0400000000003
31.75,12.5999999999999
32.26,12.1
32.77,13.92
33.29,12.3
33.8,16.0000000000001
34.31,17.7000000000001
34.81,19.15
35.32,58.2
36.12,17.13
36.63,23.22
37.14,23.7
37.64,29.2299999999998
38.15,28.3216666666667
38.66,104.14
39.68,21.4910451809121
