"age","Poaceae","Podocarpus","miombo","Olea","PCoA_Component.1","PCoA_Component.2","PCoA_Component.3","PCoA_Component.4"
21.35994485,38.3,11.1,0.7,3.9,-0.11678183015026,-0.118801779531989,0.0734406870822774,0
31.83705116,36.7,6.73,0,14.5,-0.0392813396183485,-0.889513845881248,0.426030355507828,4.67767451992627e-08
33.10475573,38.14,8.31,1.71,5.5,-0.154438713910667,-0.317090170813276,-0.0162183666576445,4.0662229253336e-08
34.13537178,42.4,9.31,1.96,6.1,-0.151928209060106,-0.316889414241365,-0.0233384223925182,3.86393718774974e-08
35.62400869,41.33,9.08,0.16,3.9,-0.217621710667883,-0.113473415476383,0.141541589211532,8.68677671645804e-09
36.07639015,46.17,7.92,1.58,4.6,-0.257310863775102,-0.205616822145967,-0.0162747661224119,1.44261071483814e-08
37.56439083,34.19,9,2.57,6,-0.0662965322266647,-0.404878285605506,-0.120530878031787,1.64030144624752e-08
38.47247713,36.16,7.34,1.13,4.7,-0.191792304215697,-0.269079418028051,0.0357828633410935,-2.31660211619338e-08
41.33539299,40.33,10.38,0.94,6.2,-0.112895003453159,-0.288005287445206,0.101366576434572,2.16863090867843e-08
44.22784162,40.05,8.75,0.8,5.1,-0.181347397797022,-0.235500299098378,0.0913441674748762,7.32344957420396e-08
45.95175774,43.81,7.85,2.11,6.8,-0.190573813516788,-0.378537531794479,-0.0234694016521161,-1.35214566971884e-09
46.79581345,33.56,5.7,1.34,6.2,-0.182885139258513,-0.453884811810325,0.0498819144843384,5.29862933556361e-08
49.14475421,37,15,1.33,4,0.0176004857841978,-0.102559620108236,-8.22854126442295e-05,1.03757241229075e-07
51.59065801,41.44,5.96,0.99,5.3,-0.276142280667551,-0.293178388241687,0.0709107483801164,3.13575357675559e-08
56.17638258,40.09,5.26,0.93,5.5,-0.28537339317472,-0.328780482033677,0.0850867189378579,2.70234173426283e-09
74.11705981,41.83,10.69,3.05,11.9,-0.00688956956666205,-0.658589310047944,3.47547318001885e-05,-2.65693770506534e-08
77.59748976,22.63,26.76,0.97,9.3,0.56613131903211,-0.352867350427279,0.183511084377286,-2.91798266632106e-08
78.47128035,24.38,32.76,1.97,6.9,0.605788174991817,-0.141759852462429,0.0134459760261299,-1.08549354864544e-07
79.44135646,28.19,29.16,0.72,7.9,0.48491988909788,-0.191068412598908,0.167107409424552,-3.85043686643529e-08
80.23325716,38.02,13.09,2.22,5.4,-0.0126013775107306,-0.250388951400578,-0.0711145793185615,6.88520000338107e-09
80.9564461,57.73,3.09,1.03,6.3,-0.437005397101311,-0.293455221564914,0.0825617007822067,-4.27914746204749e-09
82.31465713,56.57,5.45,1.44,6.6,-0.354658479032922,-0.296404740571587,0.0481389239586359,1.40555873015682e-08
82.87338774,55.52,6.1,0.16,8.2,-0.320270088084581,-0.346617148590687,0.210983929521759,1.68687909520952e-08
83.90876112,55.33,6.04,1.91,7.7,-0.306398676370352,-0.367626977980221,0.0249774266681116,1.89484700816651e-08
85.16931601,33.23,6.71,1.25,12.2,-0.0228654181201648,-0.846218423129713,0.229470622342506,1.88644079880837e-09
85.92573422,44.63,2.44,1.22,19.5,-0.132086780418601,-1.13114140262961,0.352195260726816,4.40412246162001e-09
86.25931603,60.6,2.32,0.99,12.7,-0.352513028842565,-0.606656677511126,0.206435494643192,-3.81547998087122e-10
86.58256678,73.21,0.48,0.19,9.2,-0.511957535238506,-0.362100721608524,0.198443326789838,1.28957361964222e-08
87.07112632,78.55,0.69,0.17,5.6,-0.581107139326437,-0.170352874711136,0.133847152836146,2.81958219445808e-09
87.23731032,73.63,0.83,0.66,3.8,-0.596510526883359,-0.108739087107897,0.0628736166725892,-7.45376352052414e-09
87.5652489,87.54,0.16,0,2.7,-0.657263184600194,-0.0166941635226804,0.0941325815213946,-5.98760306159903e-09
87.91264191,78.98,3.28,0,3.5,-0.558068111249141,-0.0438584345000791,0.111731719436157,8.51267727742071e-09
88.33068399,79.38,2.13,0,4.6,-0.56733560536067,-0.104311959769066,0.129985802414291,-1.74620444989755e-08
88.70980704,91.82,0.16,0.16,2.2,-0.665962530347037,0.00706891357244306,0.0724791507083655,-8.52161123814003e-10
89.10464718,88.73,0.33,0,3,-0.648740800257101,-0.0272532682956185,0.0982428960109404,1.68117850944747e-09
89.61634231,89.48,0.16,0,2.3,-0.665327605778958,0.00381966757401274,0.0869193096298839,-9.86544257372507e-09
90.08245714,85.39,4.49,0,1.5,-0.574068990957003,0.0651065943253567,0.0758561139749174,1.2236894291993e-08
92.13462159,64.13,19.57,0,5.7,-0.118320426281464,-0.0461130869655888,0.152423211124731,4.7269624100914e-09
92.57474933,77.33,6.67,0,2.7,-0.487947293198622,0.0173767259925274,0.0987631521451551,-6.83233579914499e-09
93.30141098,85.21,6.51,0,1.2,-0.533289278614005,0.09090835228822,0.0714130630231366,5.07713958235948e-09
93.56319036,68.5483871,20.16129032,1.612903226,0,-0.190055907493071,0.18484391878141,-0.0676813397227314,8.25020869544894e-09
93.79239369,63.88888889,30.55555556,0,0,0.00931401254988628,0.278650656243069,0.0614375527233413,1.06639742085474e-08
94.24564897,67.56756757,21.62162162,0.675675676,0.675675676,-0.156919364433508,0.185392189784186,0.0170149189473611,2.78101699134125e-09
94.69339746,64.70588235,29.41176471,0,0,-0.0152233053148079,0.272859476533322,0.0610361366233809,9.1979435799064e-09
94.94950409,79.16666667,13.88888889,0,0,-0.378400025420956,0.187144254350978,0.0550947789173238,1.26682065696783e-08
95.16325624,51.04166667,38.54166667,0,0,0.246698297211836,0.334676953017953,0.0653210201123331,9.43397164824382e-09
95.77625523,49.11242604,34.02366864,0.295857988,2.071005917,0.219370442507537,0.207235766887333,0.0758445436843371,1.26651883268968e-08
96.05349646,54.94880546,30.37542662,0.682593857,1.365187713,0.0991663877808808,0.207196799914405,0.0306540838034675,9.92798062326582e-09
96.37773085,40.82278481,35.12658228,0,1.898734177,0.33360413954696,0.242475929932412,0.102347315338498,1.82747352879688e-08
96.66853276,72.09302326,18.27242525,0.332225914,2.325581395,-0.227467591510048,0.0978861946941635,0.0688871621503027,1.31232117212465e-09
96.9909919,33.67346939,40.81632653,0,8.503401361,0.552615091580027,-0.0666053359273951,0.21989400339931,-9.52449297115555e-09
97.33916196,20.15355086,57.19769674,0.767754319,2.687140115,0.931788609412087,0.317819272461896,0.0581082249705319,-6.38374696725185e-09
97.61690606,15.58704453,56.27530364,0,3.846153846,1.0269842240107,0.284069590985246,0.152246353426356,1.14858025503845e-08
98.0855747,41.64133739,20.97264438,0.607902736,1.823708207,0.0655548719105577,0.137889532258704,0.0374169837881686,4.62148307766231e-09
98.75188642,29.65517241,39.65517241,2.75862069,3.793103448,0.583386474974081,0.0878757231518508,-0.112472862589433,2.57770576326008e-08
99.11348015,28.85714286,38.57142857,1.714285714,4.571428571,0.586901890827395,0.0674974510467542,-0.00249121249499444,2.05974647356199e-08
99.49607524,28.75,45.41666667,1.25,2.5,0.660601343870199,0.242088494843504,0.00586064803394466,-4.70552140872469e-09
99.76912619,27.85087719,49.12280702,0.657894737,5.921052632,0.724865936800185,0.0994301422708342,0.121096910726829,1.91915036493713e-09
100.0443528,30.02364066,44.20803783,1.182033097,5.673758865,0.637247140573331,0.0653381198887459,0.0711120492437125,6.90829993801423e-10
100.478527,23.8410596,49.66887417,0.662251656,4.635761589,0.799877547122994,0.171399407409912,0.101013571858236,1.33684891953863e-08
101.0838918,29.83870968,42.94354839,0.403225806,6.653225806,0.630316814796151,0.0268940968535354,0.157649720895805,4.43644293607036e-09
104.8736966,34.5971564,36.72985782,0.947867299,7.109004739,0.482473256325608,-0.0547764242578377,0.115750034175554,-2.95526052077362e-09
105.6835275,40.32258065,29.83870968,0.403225806,4.435483871,0.27933405708382,0.0550068976153047,0.114293899426201,1.26843032451666e-09
106.5295452,36,22.22222222,3.111111111,1.777777778,0.185059329551363,0.0608916712805927,-0.242003692369064,1.97035328567852e-11
107.1818591,35.31914894,34.89361702,0.85106383,8.085106383,0.453105452217264,-0.116817568805207,0.142030719276814,1.48813974973394e-08
108.1310318,43.50282486,25.42372881,2.259887006,4.802259887,0.177725931269372,-0.0515102265032455,-0.0531593545323249,3.83867345888924e-09
109.0428263,48.77384196,28.61035422,1.36239782,3.542234332,0.156092708899548,0.0710203558631614,0.00998838549297892,1.19632008785655e-09
110.7077309,53.04347826,23.26086957,2.173913043,4.347826087,0.0358814286246168,-0.0263789998287912,-0.0464857023392331,2.67288286280308e-09
111.6467818,46.12403101,26.9379845,1.937984496,5.23255814,0.176229322474846,-0.046577180583369,-0.0108700779117267,-1.9037716840568e-09
112.5885004,39.94252874,35.91954023,1.724137931,8.908045977,0.409823953248832,-0.154948881393779,0.0778413063457609,-1.13473885233165e-08
113.4678472,31.61157025,38.84297521,2.479338843,7.438016529,0.55844935275536,-0.100178764944886,-0.0119022500564138,-1.87866441803731e-08
114.8293101,38.66171004,34.57249071,1.486988848,4.089219331,0.376193393005222,0.0760619021655938,0.0102018442466927,1.24470499052468e-08
115.8467631,32.11678832,38.32116788,1.459854015,5.474452555,0.533231105847515,0.0259327913884693,0.0403140443257812,1.95669212170588e-08
117.1048013,36,40.4,2,3.6,0.49053232605602,0.125486720295566,-0.0385044562162544,2.18840052332296e-08
118.0032809,48.38709677,20.96774194,1.209677419,4.435483871,0.0305283943746578,-0.031867005575445,0.0344385334770837,3.42806108387945e-09
118.7163299,21.14695341,48.02867384,2.150537634,6.810035842,0.837433066324202,-0.00072430221282645,0.00823233567754153,-9.50829570035203e-09
119.6160882,29.05982906,35.47008547,0.854700855,5.128205128,0.54472597752837,0.0371939899678677,0.0909325004764085,-3.41824691476122e-09
120.4713872,32.29166667,27.86458333,1.041666667,4.6875,0.368824637169331,-0.00667362630210059,0.0597463307818061,-7.14178776952905e-09
121.0139491,37.21881391,29.44785276,2.862985685,8.384458078,0.356805760879554,-0.232834608597124,-0.0347697085748323,-6.18279672571932e-09
123.320528,85.56034483,1.293103448,0,1.724137931,-0.645875323363602,0.0340657148765284,0.0791333903200531,1.75258759843612e-08
123.8406034,86.2745098,2.521008403,0,1.120448179,-0.627525677857047,0.0707618071395004,0.0692097247968954,-2.01601915946889e-09
124.3355528,82.43727599,1.075268817,0,0,-0.681802889719108,0.115536570035544,0.0501312863638616,6.33726087646739e-09
124.7230928,90.06622517,2.649006623,0,0,-0.646883974531636,0.123777964398007,0.0507025392948738,6.87120165742078e-09
125.1457706,89.74358974,1.424501425,0,0.284900285,-0.67065780318156,0.103770727405198,0.0548612372186556,1.66702813259402e-09
125.5786282,94.19795222,0.682593857,0,0,-0.694442155313199,0.11255351137941,0.0499245154066955,9.38333065804643e-10
126.0717557,85.55858311,0.272479564,0,1.089918256,-0.682798064397204,0.0573556498490738,0.0684195480281283,1.88002808183878e-09
126.5676442,75.26501767,9.540636042,0.706713781,0,-0.451218919802168,0.148320411098548,-0.00434451021222478,7.65978829195856e-09
126.9367655,63.93939394,15.45454545,0.303030303,3.03030303,-0.229560867409323,0.0434077034876491,0.0851848743010743,1.82655326392926e-09
127.2906073,48.57768053,21.88183807,2.188183807,4.814004376,0.0581287585674379,-0.0709799676918697,-0.0461389478495807,1.65973323895978e-09
127.6305321,58.54700855,19.87179487,2.35042735,4.05982906,-0.073446494148412,-0.0345904591053806,-0.0653373938143285,1.3586232588464e-09
127.8142094,84.84042553,3.989361702,0.531914894,0.265957447,-0.598620851053205,0.10591815152933,0.0139958571835268,-3.81426962220623e-10
128.3808973,88.33922261,1.060070671,0,0,-0.684067270953505,0.115002141670876,0.0500942424176178,-4.96114013980001e-09
128.5969312,78.59007833,7.571801567,0.261096606,0.261096606,-0.507138292556139,0.134954851476267,0.0361567008584318,1.17155594309405e-10
128.9098926,84.95575221,1.769911504,0,0.884955752,-0.648848504645741,0.076635547910875,0.0654157263465647,-8.28228009446149e-09
129.2248758,85.32423208,4.09556314,0,0.682593857,-0.596832545267348,0.100581793746719,0.0625803454783849,-1.21574248366028e-08
129.5025651,74.81840194,9.443099274,0.484261501,0.726392252,-0.443092021080269,0.117768706661466,0.0265105129164853,7.90485070568133e-09
129.8078002,44.25427873,27.62836186,1.95599022,5.378973105,0.210328400765865,-0.0523371813137553,-0.0101775476326721,-1.721949223891e-09
130.1088273,50.42194093,23.20675105,2.53164557,4.430379747,0.0626944829797753,-0.0450406770820971,-0.0788425395015807,1.7846127048857e-09
130.469828,45.32019704,26.3546798,1.97044335,4.679802956,0.170170565526943,-0.0253590364553744,-0.0260193589896594,2.43894224502632e-10
130.7701005,56.16161616,21.41414141,1.818181818,4.444444444,-0.0258900312356329,-0.0314159789158249,-0.014600458573208,-7.21886428256535e-10
131.0855258,47.12643678,19.54022989,2.298850575,3.448275862,0.0107058262046584,-0.0241932466923908,-0.0927723427473028,1.84714275198699e-09
131.2501909,56.06557377,16.72131148,1.31147541,4.262295082,-0.123721707075234,-0.0479281305918003,0.0207054966357438,-4.98335125897053e-10
131.2800902,44.6969697,23.48484848,3.03030303,4.04040404,0.12604845360735,-0.0473444513782555,-0.14208737708469,6.35187780513979e-10
131.5734361,56.7032967,19.12087912,2.197802198,4.395604396,-0.0708288754430723,-0.0565450519808295,-0.049965146380796,7.01902558158582e-10
131.798596,53.4591195,21.5932914,2.096436059,4.612159329,0.00429648143866511,-0.0503481278202358,-0.0370157586835148,1.41282811523468e-09
132.1598387,47.81609195,23.2183908,2.528735632,6.666666667,0.112405245167562,-0.163534568958711,-0.0377191383607644,-4.87399768797732e-09
132.5160059,51.4893617,17.23404255,3.191489362,6.808510638,-0.0267727591991363,-0.23567806394395,-0.0986310633542475,-2.62965055823902e-09
132.8084691,61.08695652,17.39130435,2.608695652,3.913043478,-0.138447015006406,-0.0493156821630759,-0.0900844552836885,-2.25259810432054e-09
133.0921119,49.73262032,17.9144385,2.406417112,5.614973262,-0.0190039650217742,-0.154210734060113,-0.0548439324278133,-1.0720034552278e-09
133.4072504,55.85106383,17.55319149,3.723404255,6.914893617,-0.0510714134367844,-0.231819607241993,-0.131694839340991,1.58730089010802e-09
133.7559419,52.18978102,17.88321168,1.824817518,7.664233577,-0.0209898310310104,-0.233711654366375,0.0399119051431364,-2.36183265385387e-09
134.162159,57.79467681,11.02661597,1.901140684,1.901140684,-0.294605315434601,0.0174097736613494,-0.0898229374191338,5.24654872048785e-09
134.3912359,17.79661017,41.24293785,2.542372881,12.71186441,0.852303470293222,-0.402684102338538,0.0838151994605559,-1.12541793928486e-09
134.8470888,32.82275711,39.8249453,3.282275711,3.06345733,0.530485413557179,0.113652860056978,-0.166277734512184,2.59075081613849e-08
135.1002989,63.46863469,11.80811808,2.21402214,1.47601476,-0.30958711630913,0.0436019819959791,-0.114101490752985,-1.73913496114496e-09
135.2470421,57.68261965,15.86901763,3.274559194,2.518891688,-0.158148575487278,-0.0156277345970664,-0.185829830239138,3.79296588699056e-09
135.4024177,58.1300813,13.82113821,2.032520325,1.219512195,-0.238816453498405,0.0743893662704804,-0.109436241548455,2.59515618637605e-09
135.5977216,47.63636364,20.36363636,8,6.181818182,0.09459537853389,-0.303696494605496,-0.513449738533153,6.42194249285258e-09
135.8190062,67.13947991,15.60283688,1.418439716,1.182033097,-0.258720713370139,0.107870184484815,-0.0398701150452918,6.61817921925271e-09
