"age","MS_downsampled"
10.475,49.2997420813504
10.533,47.4479732846475
10.961,15.4974598412668
11.317,14.3553964461271
11.626,13.9490662454757
11.908,12.847741592542
12.187,13.5000196657942
12.489,11.4448887450383
12.806,11.8480068501297
13.141,12.0282136517921
13.462,14.8383739148309
13.75,14.2
14.047,15.2
14.405,12.7392063116657
14.881,46.3333598005724
15.488,13.5957145133918
16.002,16.9325559210541
16.662,10.3007855958557
17.387,9.45110656630803
18.064,11.3495232254521
18.656,11
19.185,10.6
19.666,10.7
20.109,11.5
20.528,11.7
20.926,11.8561199575938
21.36,13.8792430674596
21.75,11.5305028803883
22.152,11.871520547685
22.544,12.1719200226886
22.933,11.8565108387098
23.327,12.76811594028
24.124,15.6251445464957
24.571,14.7069405565677
25.199,15.198306006933
25.684,15.1202409131777
26.11,16.4186552228207
26.583,15.0789587315096
27.016,15.7813995095497
27.412,15.4797616196205
27.827,16.5771914905498
28.238,15.3900797872028
28.57,52.5845594741251
29.01,15.8572004787091
29.439,16.7606034095059
29.843,15.8418390646612
30.272,16.0576767012068
30.714,68.1893178555471
31.17,16.5808130604203
31.64,18.2
31.837,19.2990678134815
32.611,21.4372744481704
33.105,15.1922179071938
33.571,14.5415652825334
34.135,17.8
34.605,16.4196159257396
35.102,16.9
35.624,31.3019681302162
36.076,17.8
36.582,16.8
37.056,16.7791943741879
37.564,16.6973548464979
38.006,19.1998325389538
38.472,20.9
38.943,19.0001836510766
39.409,18.7
39.855,15.8770900128081
40.334,17.4
40.793,16.1006135492118
41.335,18.6930961025892
41.619,16.7592579363469
42.426,15.4551892334405
42.93,15.899737285576
43.375,16.5
43.816,16.6
44.255,17.0506317134998
44.691,18.1
45.123,18.3511233868722
45.526,18.6472481192882
46.796,17.401213729496
47.123,18.556991572049
47.535,60.9764114120043
47.944,6.7852703437569
48.348,6.27095770484586
49.145,16.9772713648058
49.554,4.6
49.687,5.08626794391491
50.234,4.11723006923102
50.588,3.5
50.945,5.5808171244458
