Depth,age,Gamma Density,MS Loop (negs removed)
8.85,15.83569871,1.1966,12.4
8.86,15.87926709,1.2016,12.5
8.87,15.92305654,1.19,13.7
8.88,15.96705497,1.1886,16.3
8.89,16.01125031,1.1975,17.1
8.9,16.05563049,0.9511,16.4
8.96,16.32511703,0.7113,15.4
8.969,16.36591523,1.233,15.1
8.979,16.41133116,1.2271,14.6
8.989,16.45682447,1.2078,13.6
8.999,16.50238308,1.2341,12.5
9.009,16.54799491,1.2343,11
9.019,16.5936479,1.2277,11
9.029,16.63932997,1.2066,10.4
9.039,16.68502904,1.1707,10.2
9.049,16.73073304,1.1748,10.1
9.059,16.77642989,1.1895,9.9
9.069,16.82210753,1.1919,9.7
9.079,16.86775387,1.1754,9.8
9.089,16.91335684,1.1611,9.8
9.099,16.95890438,1.1693,10
9.109,17.00438439,1.1719,10
9.119,17.04978481,1.1671,10
9.129,17.09509357,1.1636,10.1
9.139,17.14029859,1.1718,9.9
9.149,17.18538779,1.1761,9.8
9.159,17.2303491,1.176,9.7
9.169,17.27517045,1.1679,9.5
9.179,17.31983977,1.1652,9.4
9.189,17.36434496,1.1734,9.4
9.199,17.40867398,1.185,9.5
9.209,17.45281473,1.1839,9.5
9.219,17.49675514,1.1886,9.6
9.229,17.54048315,1.1937,9.8
9.239,17.58398667,1.1958,10
9.249,17.62725363,1.1909,10.3
9.259,17.67027196,1.2015,10.5
9.269,17.71302958,1.2212,10.9
9.279,17.75551442,1.2132,11.2
9.289,17.7977144,1.2299,11.5
9.299,17.83961745,1.2322,11.6
9.309,17.8812115,1.2466,11.8
9.319,17.92248446,1.2511,11.9
9.329,17.96342427,1.258,11.6
9.339,18.00401885,1.243,11.4
9.349,18.04425613,1.23,11.3
9.359,18.08412403,1.2202,11.4
9.369,18.12361048,1.2393,11.7
9.379,18.1627034,1.2354,12.4
9.389,18.20139073,1.2445,13.1
9.399,18.23966037,1.2479,13.8
9.409,18.27750027,1.2401,14.4
9.419,18.31489834,1.2366,14.7
9.429,18.35184251,1.233,14.4
9.439,18.38832071,1.2366,13.6
9.449,18.42432087,1.2461,12.6
9.459,18.45984333,1.242,11.9
9.469,18.49515141,1.2459,11.5
9.479,18.53035172,1.257,11.3
9.489,18.56543972,1.2553,11.2
9.499,18.60041088,1.2587,11.2
9.509,18.63526065,1.2538,11
9.519,18.6699845,1.2655,11
9.529,18.7045779,1.2655,11
9.539,18.73903629,1.2582,11
9.549,18.77335515,1.2628,11
9.559,18.80752712,1.2597,11.1
9.569,18.84148766,1.2452,11.2
9.579,18.87521389,1.2543,11.3
9.589,18.90870902,1.2582,11.3
9.599,18.94197627,1.2491,11
9.609,18.97501885,1.2469,11
9.619,19.00783998,1.2426,10.9
9.629,19.04044287,1.2513,10.8
9.639,19.07283074,1.2512,10.8
9.649,19.1050068,1.2397,10.7
9.659,19.13697426,1.2416,10.6
9.669,19.16873635,1.2284,10.6
9.679,19.20029627,1.223,10.6
9.689,19.23165724,1.2518,10.6
9.699,19.26282248,1.2346,10.6
9.709,19.2937952,1.2275,10.6
9.719,19.32457862,1.1797,10.6
9.729,19.35517594,1.2162,10.6
9.739,19.38559039,1.2066,10.6
9.749,19.41582518,1.2238,10.5
9.759,19.44588352,0.9983,10.4
9.769,19.47576863,1.1049,10.5
9.779,19.50548372,1.218,10.5
9.789,19.53503201,1.2283,10.5
9.799,19.56441672,1.2182,10.5
9.809,19.59364105,1.2316,10.5
9.819,19.62270823,1.2447,10.6
9.829,19.65162146,1.2284,10.7
9.839,19.68038396,1.2161,10.7
9.849,19.70899895,1.2264,10.8
9.859,19.73746965,1.2284,10.8
9.869,19.76579926,1.2303,10.9
9.879,19.793991,1.2251,10.8
9.889,19.82204808,1.2202,10.9
9.899,19.84997373,1.225,11.1
9.909,19.87777115,1.2303,11
9.919,19.90544356,1.242,11.3
9.929,19.93299418,1.2236,11.4
9.939,19.96042622,1.2146,11.4
9.949,19.98774289,1.2277,11.5
9.959,20.01494741,1.2158,11.5
9.969,20.04204299,1.2193,11.4
9.979,20.06903286,1.2245,11.5
9.989,20.09592021,1.2126,11.5
9.999,20.12270828,1.2138,11.5
10.009,20.14940027,1.2029,11.6
10.019,20.17599939,1.2203,11.7
10.029,20.20250887,1.227,11.7
10.039,20.22893191,1.2145,11.7
10.049,20.25527174,1.2277,11.5
10.059,20.28153156,1.2232,11.5
10.069,20.3077146,1.222,11.4
10.079,20.33382406,1.2201,11.4
10.089,20.35986316,1.2359,11.4
10.099,20.38583512,1.2296,11.3
10.109,20.41174315,1.2122,11.5
10.119,20.43759046,1.2198,11.4
10.129,20.46338027,1.2333,11.5
10.139,20.4891158,1.2288,11.6
10.149,20.51480026,1.1917,11.7
10.159,20.54043686,1.2062,11.7
10.169,20.56602882,1.2359,11.8
10.179,20.59157936,1.2068,11.4
10.189,20.61709168,0.8825,11
10.188,20.61454208,0.3383,10.7
10.198,20.64002276,0.8261,10.8
10.208,20.66547134,1.1711,11.3
10.218,20.69089103,1.1183,11.6
10.228,20.71628505,1.1987,11.7
10.238,20.7416566,1.2275,11.8
10.248,20.76700892,1.2,11.8
10.258,20.7923452,1.209,11.7
10.268,20.81766867,1.2157,11.7
10.278,20.84298254,1.1952,11.7
10.288,20.86829002,1.2297,11.7
10.298,20.89359433,1.2191,11.7
10.308,20.91889869,1.2276,11.8
10.318,20.9442063,1.2447,12
10.328,20.96952039,1.2309,11.9
10.338,20.99484417,1.2357,12
10.348,21.02018085,1.2128,12
10.358,21.04553365,1.2231,12
10.368,21.07090578,1.2265,12.2
10.378,21.09630046,1.2105,12.2
10.388,21.1217209,1.1769,12
10.398,21.14717032,0.7596,12.1
10.408,21.17265193,1.2244,12.2
10.418,21.19816895,1.2325,12.3
10.428,21.22372459,1.2349,12.5
10.438,21.24932206,1.2307,12.9
10.448,21.27496458,1.2382,13.4
10.458,21.30065538,1.2436,13.8
10.468,21.32639765,1.2213,14.1
10.478,21.35219461,1.2386,14
10.488,21.37804949,1.2357,13.6
10.498,21.40396549,1.2431,13
10.508,21.42994583,1.2488,12.6
10.518,21.45599372,1.2417,12.4
10.528,21.48211238,1.247,12.2
10.538,21.50830503,1.2367,12
10.548,21.53456975,1.2341,12
10.558,21.56079659,1.2382,11.9
10.568,21.58694134,1.2211,11.7
10.578,21.61300575,1.2216,11.7
10.588,21.63899163,1.2318,11.7
10.598,21.66490074,1.2353,11.5
10.608,21.69073485,1.2305,11.5
10.618,21.71649575,1.2388,11.4
10.628,21.74218522,1.2219,11.5
10.638,21.76780503,1.2439,11.6
10.648,21.79335697,1.2279,11.9
10.658,21.8188428,1.2378,12.4
10.668,21.8442643,1.2333,12.1
10.678,21.86962326,1.2512,12
10.688,21.89492145,1.2305,12.3
10.698,21.92016065,1.2031,12.7
10.708,21.94534264,1.2461,12.9
10.718,21.97046919,1.2458,13
10.728,21.99554208,1.2537,12.9
10.738,22.0205631,1.2613,12.9
10.748,22.04553401,1.2504,12.6
10.758,22.07045659,1.2321,12.4
10.768,22.09533263,1.253,12.2
10.778,22.1201639,1.2514,12.1
10.788,22.14495217,1.2238,11.9
10.798,22.16969924,1.2083,11.8
10.808,22.19440686,1.2219,11.8
10.818,22.21907683,1.2233,11.7
10.828,22.24371092,1.2176,11.7
10.838,22.2683109,1.2055,11.6
10.848,22.29287856,1.0072,11.7
10.858,22.31741566,1.2602,11.7
10.868,22.341924,1.1844,11.7
10.878,22.36640535,1.2193,11.7
10.888,22.39086148,1.2272,11.6
10.898,22.41529418,1.2248,11.7
10.908,22.43970521,1.2492,11.8
10.918,22.46409636,1.2483,11.9
10.928,22.48846941,1.2394,12.1
10.938,22.51282613,1.246,12.2
10.948,22.53716831,1.2477,12.2
10.958,22.56149771,1.2363,12.1
10.968,22.58581612,1.2429,12.2
10.978,22.61012531,1.2444,12.2
10.988,22.63442707,1.2347,12
10.998,22.65872316,1.2324,11.9
11.008,22.68301538,1.2267,11.8
11.018,22.70730548,1.2343,11.8
11.028,22.73159526,1.236,11.8
11.038,22.75588649,1.2327,12
11.048,22.78018095,1.2285,12
11.058,22.80448042,1.1962,12.1
11.068,22.82878667,0.9654,12
11.078,22.85310148,1.1505,11.9
11.088,22.87742663,1.2461,11.9
11.098,22.90176389,1.2276,11.9
11.108,22.92611505,1.2332,11.8
11.118,22.95048188,1.0864,12
11.128,22.97486616,1.2217,11.9
11.138,22.99926967,1.2302,12
11.148,23.02369419,1.2146,12.2
11.158,23.04814148,1.2439,12.3
11.168,23.07261334,1.2295,12.4
11.178,23.09711153,1.2543,12.6
11.188,23.12163784,1.2347,12.9
11.198,23.14619405,1.2352,13.1
11.208,23.17078193,1.2305,13.4
11.218,23.19540325,1.2493,13.6
11.228,23.2200598,1.2378,13.5
11.238,23.24475336,1.2395,13.3
11.248,23.26948569,1.2342,13
11.258,23.29425859,1.2296,12.9
