Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate),Lake Level (PC1 5pt Smooth)
53.779,39.7922251,-0.16134
53.991,148.6719029,-0.1781
54.204,191.587465,-0.18452
54.421,28.4926338,-0.201
54.687,161.8646232,-0.2038
55.078,49.07139571,-0.20376
55.33,98.60685665,-0.18982
55.595,50.01503695,-0.18842
55.877,151.8281749,-0.18038
56.176,60.3067247,-0.17816
56.497,43.41749654,-0.18596
56.839,23.0529082,-0.19686
57.207,33.97661879,-0.21774
57.601,40.77329876,-0.21072
58.024,21.36099227,-0.2074
58.504,17.72933016,-0.21144
58.993,83.02955534,-0.19702
59.517,111.73948,-0.17638
60.079,93.15561533,-0.1884
60.68,8.721767085,-0.18402
61.357,25.27720094,-0.17128
62.293,28.6096138,-0.17814
63.487,31.20260498,-0.1701
65.807,2.117267885,-0.1592
67.274,5.630050835,-0.16132
68.729,24.84364694,-0.14868
69.94,9.299056779,-0.14196
71.337,13.34267614,-0.1434
72.358,0.8352684,-0.14078
73.102,43.79375292,-0.1466
73.727,147.5156555,-0.15616
73.935,576.3635145,-0.15192
74.117,166.4354814,-0.155
74.317,56.63170303,-0.1581
74.522,304.0883603,-0.09102
74.721,179.6328613,-0.0947
74.917,379.555664,-0.09006
75.111,175.5853208,-0.08544
75.305,165.7160897,-0.00156
75.49,399.6004884,-0.00644
75.835,102.2062655,0.07682
75.866,485.6236381,0.13136
76.018,162.4169146,0.2245
76.105,431.4592737,0.2186
76.198,270.0060612,0.16294
76.369,69.85062754,0.09054
76.543,143.8913059,0.02878
76.545,99.64994032,-0.07236
76.725,81.21413283,-0.15744
76.897,81.45285499,-0.16484
77.233,107.2529756,-0.1749
77.422,82.10901895,-0.17482
77.597,37.28326492,-0.17326
77.748,93.63682053,-0.15934
77.906,79.65187088,-0.17144
78.059,132.5120871,-0.1722
78.216,101.0322473,-0.17148
78.375,126.7448251,-0.1751
78.451,44.04727891,-0.20672
78.875,566.3362583,-0.19142
79.023,77.68849077,-0.1759
79.164,167.6481179,-0.17416
79.304,347.2567365,-0.1696
79.441,61.30883758,-0.14402
79.582,74.80512004,-0.1413
79.716,151.7967508,-0.15306
79.848,266.3825379,-0.15302
79.978,177.0644347,-0.14954
80.107,172.8316894,-0.1509
80.233,161.6373446,-0.14916
80.358,271.0092577,-0.15534
80.48,142.0711144,-0.1547
80.602,514.8381331,-0.15536
80.721,346.4407004,-0.14416
80.84,49.38033216,-0.05226
80.956,264.9333985,-0.0358
81.107,84.59083095,-0.0282
81.381,130.5386604,0.03902
81.49,230.3122427,0.04134
81.597,192.9390342,-0.0433
81.704,190.9781701,-0.04392
81.808,165.2859252,0.00404
81.912,140.0415089,-0.0636
82.014,121.5926834,-0.01994
82.114,707.861052,0.0005
82.217,224.4449017,0.00478
82.315,103.1867654,-0.03636
82.411,95.51773219,0.02866
82.506,28.70144057,0.01064
82.6,245.3134464,0.0112
82.686,48.21841928,0.03362
82.783,93.19487486,0.04704
82.873,101.1863909,0.02606
82.962,196.6111228,0.01892
83.109,44.54011394,0.03088
83.189,125.6718426,0.02192
83.273,73.82004777,0.02586
83.357,189.4745342,0.01296
83.429,41.3040162,0.0175
83.6,124.0417161,-0.0021
83.679,154.8064745,-0.01542
83.756,176.3636419,-0.02592
83.833,198.6985031,-0.03246
83.909,163.4901933,-0.05168
84.058,49.75951852,-0.06234
84.129,181.4410022,-0.08438
84.193,60.02900355,-0.10604
84.533,38.59999845,-0.1469
84.601,94.28951946,-0.15892
84.668,171.9636868,-0.17026
84.734,3.877169662,-0.17802
84.8,37.25943291,-0.19192
84.855,45.69751701,-0.18672
84.92,68.40329518,-0.1985
84.983,85.46851353,-0.21116
85.108,152.1098251,-0.194
85.169,56.11133448,-0.18742
85.232,64.65501909,-0.1752
85.293,60.37560185,-0.16764
85.352,204.3932249,-0.16566
85.415,84.55685758,-0.07656
85.48,114.6864043,0.02472
85.701,215.1385719,0.11982
85.758,449.6158619,0.13364
85.814,133.8237205,0.23736
85.835,446.2004025,0.15598
85.87,219.1617949,0.14762
85.926,158.6952918,0.05786
85.976,3716.042671,0.05776
85.981,97.61058008,-0.02926
86.036,156.3946153,0.04994
86.091,552.3195993,0.05352
86.113,2847.797787,0.05876
86.205,299.4656397,0.05902
86.259,82.7296505,0.06424
86.313,150.7610631,-0.00856
