Pollen Age,1C minSCD,Poaceae,Podocarpus,miombo,Olea,Asteraceae,Species Richness
21.35994485,0.3416182,38.3,11.1,0.7,3.9,1.261261261,2.167409356
31.83705116,0.41337372,36.7,6.73,0,14.5,1.310043668,2.362528442
33.10475573,0.35982232,38.14,8.31,1.71,5.5,1.279707495,2.353820497
34.13537178,0.35153988,42.4,9.31,1.96,6.1,1.090909091,2.134453486
35.62400869,0.31357713,41.33,9.08,0.16,3.9,1.090909091,2.555914845
36.07639015,0.32509007,46.17,7.92,1.58,4.6,0.182149362,2.349312371
37.56439083,0.40508518,34.19,9,2.57,6,0.909090909,2.349181783
38.47247713,0.39062152,36.16,7.34,1.13,4.7,0.905797101,2.546671289
41.33539299,0.38054167,40.33,10.38,0.94,6.2,1.268115942,2.122903051
44.22784162,0.32905049,40.05,8.75,0.8,5.1,0.720720721,2.358845643
45.95175774,0.3446129,43.81,7.85,2.11,6.8,0.909090909,2.349099458
46.79581345,0.33962853,33.56,5.7,1.34,6.2,2.173913043,2.340940359
49.14475421,0.28658245,37,15,1.33,4,0.905797101,2.356197113
51.59065801,0.3331437,41.44,5.96,0.99,5.3,0.541516245,2.572892904
56.17638258,0.33720117,40.09,5.26,0.93,5.5,0.18018018,1.933836845
74.11705981,0.39561258,41.83,10.69,3.05,11.9,1.179941003,2.58473708
77.59748976,0.40419327,22.63,26.76,0.97,9.3,0.547445255,2.354964479
78.47128035,0.40021315,24.38,32.76,1.97,6.9,0,1.936838986
79.44135646,0.32619234,28.19,29.16,0.72,7.9,0,1.929482528
80.23325716,0.32666747,38.02,13.09,2.22,5.4,0.727272727,2.555924653
80.9564461,0.19897105,57.73,3.09,1.03,6.3,0,2.550469801
82.31465713,0.20594689,56.57,5.45,1.44,6.6,0.309597523,2.153794923
82.87338774,0.24501034,55.52,6.1,0.16,8.2,0.539568345,2.362130283
83.90876112,0.2710967,55.33,6.04,1.91,7.7,0,2.367166961
85.16931601,0.47730205,33.23,6.71,1.25,12.2,14.91875923,2.36137371
85.92573422,0.33988087,44.63,2.44,1.22,19.5,6.466512702,2.148300724
86.25931603,0.22511155,60.6,2.32,0.99,12.7,2.377179081,2.153248282
86.58256678,0.14184658,73.21,0.48,0.19,9.2,0.20746888,1.075310336
87.07112632,0.10180705,78.55,0.69,0.17,5.6,0.723327306,1.718648592
87.23731032,0.09096984,73.63,0.83,0.66,3.8,0.321027287,1.509672127
87.5652489,0.06268075,87.54,0.16,0,2.7,0.156985871,1.076036464
87.91264191,0.09870301,78.98,3.28,0,3.5,0.317460317,1.724345502
88.33068399,0.09252772,79.38,2.13,0,4.6,0.288184438,1.708623619
88.70980704,0.0627299,91.82,0.16,0.16,2.2,0,1.076385591
89.10464718,0.06542159,88.73,0.33,0,3,0.624024961,1.50556464
89.61634231,0.05843482,89.48,0.16,0,2.3,0.303490137,1.500366415
90.08245714,0.07942433,85.39,4.49,0,1.5,0.692041522,1.708856754
92.13462159,0.24796262,64.13,19.57,0,5.7,0,1.489209497
92.57474933,0.1193188,77.33,6.67,0,2.7,1.315789474,1.91403347
93.30141098,0.09911831,85.21,6.51,0,1.2,1.069518717,1.916087483
93.56319036,0.23218739,68.5483871,20.16129032,1.612903226,0,0,2.051199026
93.79239369,0.20105018,63.88888889,30.55555556,0,0,0,0.83081368
94.24564897,0.27260032,67.56756757,21.62162162,0.675675676,0.675675676,0,1.998422723
94.69339746,0.22700587,64.70588235,29.41176471,0,0,0,0.352956124
94.94950409,0.16557019,79.16666667,13.88888889,0,0,0,1.161692468
95.16325624,0.27228162,51.04166667,38.54166667,0,0,0,0.876357331
