Age (MAL1B/1C from Ivory et al 2016)age (kyr),Lake Level (PC1 5pt Smooth)
10.475,
10.533,
10.961,-0.13654
11.317,-0.1502
11.626,-0.16346
11.908,-0.16552
12.187,-0.1789
12.489,-0.1886
12.806,-0.1862
13.141,-0.166
13.462,-0.19142
13.75,-0.19628
14.047,-0.1876
14.405,-0.20402
14.881,-0.23172
15.488,-0.2106
16.002,-0.20436
16.662,-0.20236
17.387,-0.18674
18.064,-0.17252
18.656,-0.16556
19.185,-0.15934
19.666,-0.15922
20.109,-0.1552
20.528,-0.1537
20.926,-0.15456
21.36,-0.15682
21.75,-0.15692
22.152,-0.15536
22.544,-0.1545
22.933,-0.16162
23.327,-0.15876
24.124,-0.16436
24.571,-0.1679
25.199,-0.17002
25.684,-0.16294
26.11,-0.16338
26.583,-0.16058
27.016,-0.16162
27.412,-0.1622
27.827,-0.15972
28.238,-0.15846
28.57,-0.15528
29.01,-0.1564
29.439,-0.15606
29.843,-0.1692
30.272,-0.17174
30.714,-0.17466
31.17,-0.17354
31.64,-0.16988
31.837,-0.15064
32.611,-0.1501
33.105,-0.14124
33.571,-0.1355
34.135,-0.13018
34.605,-0.14654
35.102,-0.14432
35.624,-0.15164
36.076,-0.15988
36.582,-0.16794
37.056,-0.15942
37.564,-0.16256
38.006,-0.15192
38.472,-0.15196
38.943,-0.15386
39.409,-0.16608
39.855,-0.1747
40.334,-0.19858
40.793,-0.19976
41.335,-0.19866
41.619,-0.1899
42.426,-0.182
42.93,-0.18772
43.375,-0.18672
43.816,-0.18724
44.255,-0.18658
44.691,-0.18392
45.123,-0.1729
45.526,-0.1715
46.796,-0.1664
47.123,-0.18176
47.535,-0.1805
47.944,-0.17064
48.348,-0.17074
49.145,-0.17724
49.554,-0.16248
49.687,-0.16264
50.234,-0.17712
50.588,-0.17876
50.945,-0.1792
51.279,-0.19524
51.591,-0.19722
51.874,-0.18082
52.198,-0.17774
52.455,-0.17754
52.7,-0.16334
52.908,-0.16512
53.134,-0.166
53.353,-0.16326
53.567,-0.16288
53.779,-0.16134
53.991,-0.1781
54.204,-0.18452
54.421,-0.201
54.687,-0.2038
55.078,-0.20376
55.33,-0.18982
55.595,-0.18842
55.877,-0.18038
56.176,-0.17816
56.497,-0.18596
56.839,-0.19686
57.207,-0.21774
57.601,-0.21072
58.024,-0.2074
58.504,-0.21144
58.993,-0.19702
59.517,-0.17638
60.079,-0.1884
60.68,-0.18402
61.357,-0.17128
62.293,-0.17814
63.487,-0.1701
65.807,-0.1592
67.274,-0.16132
68.729,-0.14868
69.94,-0.14196
71.337,-0.1434
72.358,-0.14078
73.102,-0.1466
73.727,-0.15616
73.935,-0.15192
74.117,-0.155
74.317,-0.1581
74.522,-0.09102
74.721,-0.0947
74.917,-0.09006
75.111,-0.08544
75.305,-0.00156
75.49,-0.00644
75.835,0.07682
75.866,0.13136
76.018,0.2245
76.105,0.2186
76.198,0.16294
76.369,0.09054
76.543,0.02878
76.545,-0.07236
76.725,-0.15744
76.897,-0.16484
77.233,-0.1749
77.422,-0.17482
77.597,-0.17326
77.748,-0.15934
77.906,-0.17144
78.059,-0.1722
78.216,-0.17148
78.375,-0.1751
78.451,-0.20672
78.875,-0.19142
79.023,-0.1759
79.164,-0.17416
79.304,-0.1696
79.441,-0.14402
79.582,-0.1413
79.716,-0.15306
79.848,-0.15302
79.978,-0.14954
80.107,-0.1509
80.233,-0.14916
80.358,-0.15534
80.48,-0.1547
80.602,-0.15536
80.721,-0.14416
80.84,-0.05226
80.956,-0.0358
81.107,-0.0282
81.381,0.03902
81.49,0.04134
81.597,-0.0433
81.704,-0.04392
81.808,0.00404
81.912,-0.0636
82.014,-0.01994
82.114,0.0005
82.217,0.00478
82.315,-0.03636
82.411,0.02866
82.506,0.01064
82.6,0.0112
82.686,0.03362
82.783,0.04704
82.873,0.02606
82.962,0.01892
83.109,0.03088
83.189,0.02192
83.273,0.02586
83.357,0.01296
83.429,0.0175
83.6,-0.0021
83.679,-0.01542
83.756,-0.02592
83.833,-0.03246
83.909,-0.05168
84.058,-0.06234
84.129,-0.08438
84.193,-0.10604
84.533,-0.1469
84.601,-0.15892
84.668,-0.17026
84.734,-0.17802
84.8,-0.19192
84.855,-0.18672
84.92,-0.1985
84.983,-0.21116
85.108,-0.194
85.169,-0.18742
85.232,-0.1752
85.293,-0.16764
85.352,-0.16566
85.415,-0.07656
85.48,0.02472
85.701,0.11982
85.758,0.13364
85.814,0.23736
85.835,0.15598
85.87,0.14762
85.926,0.05786
85.976,0.05776
85.981,-0.02926
86.036,0.04994
86.091,0.05352
86.113,0.05876
86.205,0.05902
86.259,0.06424
86.313,-0.00856
86.366,-0.0859
86.423,-0.08596
86.476,-0.08832
86.529,-0.08346
86.583,-0.0866
86.634,-0.08346
86.66,-0.0752
86.759,-0.0666
86.806,-0.0658
86.812,-0.05374
86.866,-0.05372
86.895,-0.05744
86.919,-0.06264
87.022,-0.05946
87.075,-0.044
87.183,0.01458
87.237,0.01856
87.291,0.01644
87.346,0.01134
87.4,-0.01998
87.455,-0.0855
87.51,-0.0903
87.565,-0.08716
87.621,-0.03878
87.677,0.11352
87.741,0.12166
87.798,0.13412
87.855,0.1458
87.913,0.11012
87.971,-0.01138
88.029,-0.00268
88.088,0.05162
88.147,0.11848
88.207,0.17732
88.27,0.1577
88.331,0.2361
88.392,0.17622
88.455,0.13204
88.517,0.0928
88.581,0.11134
88.645,0.08132
88.71,0.09464
88.775,0.1183
88.899,0.1027
88.967,0.15048
89.035,0.13196
89.105,0.19592
89.136,0.24616
89.177,0.26702
89.248,0.3029
89.291,0.36746
89.32,0.34094
89.466,0.33364
89.473,0.43642
89.541,0.47014
