Age (MAL1B/1C from Ivory et al 2016)age (kyr),Lake Level (PC1 5pt Smooth)
89.616,0.4338
89.849,0.50444
89.928,0.56002
89.939,0.44652
90.009,0.39594
90.082,0.39998
92.233,0.37342
92.345,0.36742
92.459,0.46024
92.575,0.3761
92.692,0.31494
92.811,0.24286
92.931,0.14616
93.052,0.03354
93.176,0.05852
93.301,0.07276
93.429,0.1669
93.558,0.11596
93.691,0.23516
93.824,0.20814
93.958,0.19646
94.095,0.09502
94.233,0.26346
94.337,0.31378
94.474,0.4786
94.606,0.60918
94.739,0.6995
94.874,0.64404
95.022,0.64596
95.149,0.60138
95.289,0.60338
95.43,0.50338
95.588,0.44616
95.733,0.35788
95.893,0.33928
96.03,0.32768
96.18,0.44846
96.333,0.49772
96.508,0.42276
96.664,0.30704
96.822,0.16638
96.996,0.03858
97.145,-0.05118
97.309,0.0974
97.497,0.14854
97.68,0.18966
97.837,0.2255
97.996,0.24064
98.185,0.1137
98.318,0.11024
98.48,0.15414
98.646,0.13672
98.845,0.12858
99.014,0.10688
99.184,0.07134
99.355,-0.00542
99.531,-0.01578
99.708,-0.0496
99.915,-0.05578
100.107,-0.05558
100.291,-0.03662
100.505,-0.0581
100.717,-0.0531
100.985,-0.07054
101.249,0.10772
101.525,0.23902
101.838,0.23312
102.097,0.2207
103.988,0.19902
104.376,-0.0105
104.777,-0.1933
105.188,-0.2056
106.032,-0.21448
106.468,-0.22984
106.911,-0.22316
107.361,-0.21626
107.813,-0.21154
108.274,-0.20532
108.656,-0.16906
112.495,-0.15724
113.398,-0.16312
113.89,-0.13708
114.07,-0.13876
114.874,-0.14256
115.361,-0.14976
115.9,-0.13784
116.315,-0.12096
116.788,-0.12364
117.196,-0.05572
124.098,0.03926
124.328,0.13924
124.541,0.20484
124.728,0.31806
125.019,0.33732
125.277,0.27554
125.539,0.27632
125.707,0.26862
126.046,0.26398
126.286,0.26884
126.51,0.30844
126.739,0.31472
126.862,0.28692
126.954,0.28766
127.089,0.33114
127.186,0.41352
127.378,0.44694
127.494,0.47068
127.568,0.5227
127.768,0.43178
127.965,0.37152
128.155,0.32728
128.307,0.33708
128.526,0.275
128.707,0.3184
128.873,0.28194
129.049,0.28482
129.177,0.26524
129.231,0.22594
129.397,0.16122
129.491,0.19754
129.562,0.21844
129.735,0.19008
129.902,0.23112
129.907,0.28744
130.068,0.21972
130.234,0.23408
130.399,0.25912
130.55,0.19428
130.718,0.14426
130.911,0.16874
131.228,0.0622
131.4,0.00562
131.566,0.01086
131.738,0.09412
131.751,0.05356
131.912,0.11454
132.107,0.09884
132.313,0.22552
132.491,0.1304
132.685,0.1334
132.86,0.06106
133.059,0.27244
133.257,0.16844
133.462,0.14736
133.663,0.13208
133.858,0.12658
134.09,-0.0472
134.228,-0.09248
134.414,-0.08198
134.589,-0.06742
134.797,-0.05658
134.917,-0.08872
135.072,-0.0998
135.249,-0.10736
135.417,-0.11544
135.586,-0.12932
135.746,-0.13804
135.913,-0.1431
136.061,-0.13518
136.572,-0.12796
136.679,-0.1202
136.805,-0.11042
136.931,-0.08964
137.041,-0.08704
137.164,-0.08024
137.285,-0.08692
137.406,-0.08638
137.519,-0.08592
137.624,-0.08596
137.752,-0.09488
137.869,-0.08742
137.989,-0.09414
138.104,-0.0923
138.211,-0.08768
138.328,-0.08972
138.406,-0.08844
138.503,-0.0846
138.533,-0.08852
138.629,-0.10566
138.725,-0.11622
138.821,-0.13166
138.915,-0.13898
139.01,-0.13672
139.049,-0.12484
139.129,-0.1106
139.137,-0.1015
139.229,-0.09484
139.32,-0.10324
139.403,-0.1066
139.477,-0.1028
139.567,-0.10166
139.657,-0.10042
139.736,-0.09944
139.825,-0.10336
139.913,-0.10896
140.002,-0.10912
140.09,-0.11276
140.177,-0.1085
140.265,-0.10224
140.344,-0.10382
140.43,-0.10148
140.517,-0.09974
140.603,-0.09968
140.69,-0.10216
140.777,-0.1004
140.863,-0.05448
140.948,-0.05446
140.982,-0.05614
140.987,-0.06138
141.066,-0.06036
141.152,-0.11054
141.237,-0.0495
141.323,-0.05434
141.402,0.02054
141.493,0.0217
141.573,0.01448
141.658,0.00664
141.743,0.0364
141.829,-0.0316
141.917,-0.03052
142.003,0.00582
142.089,-0.00872
142.168,0.03204
142.255,0.0954
142.341,0.14934
142.428,0.19156
142.514,0.21816
142.604,0.1937
142.692,0.19998
142.795,0.20094
142.802,0.17202
142.905,0.17338
143.009,0.16318
143.114,0.11934
143.219,0.07912
143.325,0.10668
143.432,0.09386
143.539,0.14832
143.647,0.17554
143.755,0.17986
143.814,0.106
143.91,0.0826
144.02,0.01752
144.132,0.02334
144.244,0.01716
144.358,0.0352
144.472,0.02796
144.586,0.04668
144.702,-0.00024
144.759,-0.00692
144.776,-0.0192
144.901,-0.04238
145.036,-0.08766
145.172,-0.10412
145.31,-0.1125
145.449,-0.11812
145.59,-0.12242
145.733,-0.12302
145.764,-0.12924
145.908,-0.12984
146.054,-0.1292
146.202,-0.13762
146.352,-0.1516
146.504,-0.16172
146.658,-0.18546
146.814,-0.1774
146.971,-0.17946
147.065,-0.17612
147.081,-0.17054
147.239,-0.15966
147.405,-0.17878
147.574,-0.1758
147.744,-0.17684
147.917,-0.18
148.093,-0.18282
148.142,-0.17634
148.31,-0.1805
148.497,-0.17748
148.675,-0.17982
148.861,-0.17654
149.05,-0.16526
149.241,-0.1639
149.31,-0.17646
149.916,-0.17372
150.014,-0.17848
150.219,-0.19878
150.428,-0.20438
150.64,-0.192
150.855,-0.18454
151.073,-0.18448
151.295,-0.18108
151.591,-0.17866
151.82,-0.18254
152.052,-0.1874
152.288,-0.169
152.528,-0.1767
152.792,-0.17022
155.36,-0.17508
155.644,-0.18606
155.933,-0.20788
156.226,-0.19422
156.523,-0.19802
156.825,-0.17942
156.977,-0.16154
157.266,-0.14746
157.578,-0.14804
157.895,-0.14208
158.338,-0.14816
158.665,-0.1336
158.851,-0.13986
159.186,-0.1471
160.041,-0.1509
160.354,-0.1582
160.674,-0.17916
161.013,-0.17754
161.243,-0.17472
161.583,-0.17512
162.096,-0.16786
162.454,-0.16558
162.818,-0.17514
163.189,-0.17582
163.566,-0.17374
164.1,-0.17274
164.492,-0.16716
164.889,-0.1691
165.291,-0.15336
165.588,-0.14056
165.923,-0.12904
166.339,-0.12062
167.183,-0.08688
167.612,-0.10262
168.082,-0.10858
168.11,-0.1176
168.548,-0.12362
168.986,-0.1381
169.431,-0.12964
169.879,-0.12864
170.33,-0.1156
170.785,-0.1155
171.235,-0.1046
171.649,-0.09434
172.111,-0.08658
172.575,-0.0906
173.041,-0.08414
173.505,-0.02932
173.975,-0.0385
174.462,0.01372
174.904,0.05302
175.377,0.0503
175.851,0.0396
176.326,0.10966
176.801,0.10298
177.273,0.08324
177.748,0.14124
177.927,0.1593
177.991,0.1459
178.476,0.12698
178.87,0.1506
179.646,0.12086
180.095,0.08084
180.607,0.07398
181.121,0.0893
181.633,0.0912
181.725,0.10534
182.235,0.11256
182.804,0.12454
183.148,0.12438
183.556,0.15464
184.056,0.1456
184.549,0.1374
185.042,0.08146
185.528,0.08682
185.922,0.06638
186.141,0.05332
186.194,0.06608
186.593,0.05868
187.013,0.0404
187.429,0.01698
187.499,-0.00302
187.911,-0.04846
188.294,-0.04044
188.698,-0.06792
189.097,-0.10298
189.494,-0.10706
189.884,-0.1118
190.268,-0.1276
190.48,-0.14532
190.856,-0.15786
191.343,-0.16866
191.456,-0.1721
191.818,-0.17044
192.179,-0.17088
192.531,-0.14828
192.88,-0.14626
193.227,-0.14906
193.259,-0.1476
193.539,-0.13978
193.87,-0.14922
194.198,-0.13614
194.522,-0.08912
194.843,-0.0784
195.158,-0.07264
195.472,-0.07076
195.774,-0.07104
196.092,-0.10136
196.214,-0.06842
196.519,-0.01138
196.822,0.0174
197.122,0.01884
197.418,0.05506
197.715,0.06894
198.009,0.05074
198.303,0.07336
198.583,0.13432
198.883,0.15242
198.984,0.1663
200.909,0.17046
201.227,0.16626
201.554,0.16562
201.849,0.14868
202.168,0.12098
202.486,0.11398
202.806,0.10474
203.126,0.082
203.309,0.07372
203.956,0.08192
204.283,0.08846
204.374,0.03922
204.405,0.001
204.729,0.00514
205.055,-0.04422
205.385,-0.09466
205.717,-0.09352
206.054,-0.06896
206.391,-0.10604
206.711,-0.10414
207.058,-0.10202
207.407,-0.09626
207.567,-0.1241
207.902,-0.13558
208.26,-0.14362
208.603,-0.15202
208.971,-0.16164
209.344,-0.17264
209.724,-0.15744
210.108,-0.15698
210.432,-0.161
210.456,-0.16282
210.869,-0.16396
211.286,-0.18
211.712,-0.18282
212.143,-0.17804
212.58,-0.17824
213.028,-0.17574
213.481,-0.17248
213.944,-0.1665
214.413,-0.16634
215.056,-0.17162
215.544,-0.1743
216.551,-0.17916
217.067,-0.16596
217.595,-0.16508
218.191,-0.1597
218.223,-0.16202
218.73,-0.16052
219.234,-0.17678
220.277,-0.17576
220.603,-0.17176
221.083,-0.16554
221.593,-0.16228
222.092,-0.16262
222.587,-0.16788
223.079,-0.16934
223.519,-0.17314
223.603,-0.17862
224.055,-0.1777
224.533,-0.1727
225.011,-0.172
225.48,-0.17
225.894,-0.1647
226.408,-0.14984
226.701,-0.15196
227.096,-0.14236
230.768,-0.13476
231.259,-0.13202
231.777,-0.04766
232.301,0.11526
232.833,0.15032
233.343,0.15804
233.876,0.16652
236.284,0.18668
236.359,0.0302
236.93,-0.014
237.556,-0.02752
238.191,-0.00384
238.84,-0.11876
239.509,-0.1198
240.275,-0.0308
240.953,-0.03072
241.668,-0.05474
242.405,-0.0082
243.156,-0.01076
243.926,-0.00788
245.23,0.0753
246.054,0.07958
246.797,0.1074
247.643,0.16862
248.529,0.10244
249.146,0.12722
249.197,0.2269
249.987,0.25218
250.776,0.29668
251.581,0.31494
252.405,0.27914
253.246,0.25994
254.114,0.25798
254.823,0.25412
255.717,0.27508
256.632,0.2899
256.949,0.28446
257.842,0.24802
258.811,0.23714
259.801,0.2524
260.783,0.2497
261.715,0.23314
262.297,0.26398
263.178,0.18664
263.98,0.18048
264.809,0.10854
265.619,0.12576
266.416,0.09544
267.336,0.14802
268.103,0.14788
268.919,0.17342
269.145,0.17304
269.921,0.18332
270.767,0.19352
271.636,0.2166
272.534,0.1832
273.459,0.17204
274.432,0.18524
275.002,0.18198
276.033,0.1006
277.146,0.10652
278.312,0.08606
278.811,0.0391
291.238,0.01602
292.517,0.00052
293.777,0.02808
295.87,-0.00864
298.007,-0.05282
302.214,-0.10778
305.56,-0.10492
309.327,-0.08534
310.848,-0.0521
314.881,0.01936
319.098,0.06686
322.894,0.11794
327.246,0.11286
330.815,0.12098
334.166,0.1198
335.289,0.07612
338.403,0.028
341.299,-0.02812
344.234,-0.09738
346.917,-0.17372
349.173,-0.15592
351.711,-0.17152
352.849,-0.17554
355.183,-0.18314
357.88,-0.18448
360.583,-0.21496
362.957,-0.21794
365.206,-0.22652
367.186,-0.23182
368.081,-0.23666
369.917,-0.241
371.793,-0.24494
373.571,-0.2538
375.287,-0.2593
376.931,-0.2622
378.584,-0.2616
380.092,-0.26668
381.633,-0.2527
383.152,-0.21516
383.467,-0.20932
383.896,-0.20728
384.852,-0.19844
386.393,-0.20036
387.96,-0.22468
389.564,-0.22536
391.218,-0.2238
392.934,-0.22696
393.618,-0.22174
395.266,-0.2226
397.171,-0.22176
399.179,-0.22006
401.279,-0.22956
403.393,-0.20608
405.377,-0.20624
407.019,-0.20284
413.647,-0.19558
415.052,-0.17298
416.257,-0.19308
417.092,-0.18592
417.648,-0.19536
417.966,-0.19972
419.422,-0.20574
420.903,-0.06426
422.356,-0.06658
426.572,-0.05968
428.659,-0.0651
430.087,-0.07448
431.563,-0.19264
433.024,-0.18402
445.967,-0.1689
446.144,-0.14846
447.429,-0.13224
448.896,-0.14996
454.237,-0.14632
455.57,-0.15268
456.908,-0.16226
457.333,-0.15974
458.636,-0.16146
459.968,-0.16686
460.589,-0.1652
461.967,-0.16726
463.253,-0.1723
464.542,-0.17316
465.09,-0.17246
467.46,-0.164
468.718,-0.14752
469.954,-0.0909
471.191,-0.01038
475.545,0.0901
487.56,0.17508
488.761,0.18028
489.924,0.2105
491.078,0.19056
491.479,0.17208
492.544,0.1505
493.653,0.21036
495.81,0.21258
496.82,0.19708
497.783,0.1315
498.978,0.15622
499.097,0.15622
499.892,0.1521
500.761,0.18042
501.586,0.258
502.37,0.23116
503.116,0.24762
503.825,0.22774
505.022,0.25182
505.648,0.20518
506.242,0.23284
506.813,0.22372
507.297,0.25006
507.797,0.2504
508.312,0.27872
508.813,0.26578
509.302,0.27388
509.781,0.23178
510.252,0.17886
510.719,0.11908
510.796,0.10424
521.928,0.0837
527.617,0.12346
528.603,0.09218
529.699,0.16788
530.853,0.20122
532.049,0.2193
533.299,0.23376
534.614,0.29088
535.069,0.27266
536.521,0.24122
538.149,0.2231
539.953,0.20688
541.887,0.21892
543.949,0.21996
546.141,0.20218
548.411,0.14604
550.76,0.14422
551.939,0.14696
552.267,0.16374
554.878,0.18666
557.658,0.18906
560.439,0.18122
563.263,0.11412
566.022,0.04874
567.769,-0.01112
570.404,-0.0105
573.078,-0.0728
573.3133991,-0.07586
573.5056333,-0.09766
573.665171,-0.11372
573.8737631,-0.13632
573.9716473,-0.13848
574.0518839,-0.15964
574.1222738,-0.16334
574.1876161,-0.17022
574.2519353,-0.14782
574.3212787,-0.15652
574.3713221,-0.15066
574.474103,-0.14758
574.6838642,-0.13552
574.850719,-0.14558
575.0587879,-0.14608
575.31,-0.15166
575.912,-0.16122
576.412,-0.1708
577.007,-0.1621
578.14,-0.16022
584.628,-0.15676
585.012,-0.15522
585.582,-0.14334
586.583,-0.15764
587.628,-0.16012
588.69,-0.15576
590.801,-0.16256
591.459,-0.17152
591.878,-0.16258
597.871,-0.1474
600.589,-0.15286
605.06,-0.11664
605.751,-0.11486
606.252,-0.10968
606.446,-0.12482
606.958,-0.06496
607.149,-0.09038
607.65,-0.07678
607.844,-0.0894
608.339,-0.07072
608.536,-0.11344
609.002,-0.09202
609.674,-0.0533
610.332,-0.04046
610.976,-0.0385
612.173,-0.03618
612.806,-0.05872
613.42,-0.10806
614.595,-0.12136
615.654,-0.13734
616.228,-0.14986
616.8,-0.13006
617.379,-0.13884
618.261,-0.12566
618.922,-0.1211
619.519,-0.10972
620.112,-0.11462
620.697,-0.09268
621.266,-0.096
621.835,-0.08814
622.363,-0.08812
622.926,-0.0409
623.469,-0.01328
624,0.03574
624.536,0.08976
625.061,0.13764
625.749,0.12788
626.235,0.0987
626.734,0.10756
627.234,0.05354
627.716,0.00808
628.202,-0.02676
628.45,-0.01636
628.49,-0.01934
628.672,0.01216
628.995,0.06798
629.493,0.11978
629.981,0.16164
630.469,0.16708
630.94,0.1844
631.412,0.20712
631.826,0.18914
632.284,0.18068
632.739,0.1849
633.157,0.13708
633.626,0.05836
634.064,0.02516
634.494,-0.01768
634.886,-0.076
635.319,-0.07554
635.735,-0.03862
636.146,-0.03704
636.458,-0.03508
636.487,-0.03924
636.842,-0.04748
637.18,-0.10922
637.537,-0.13688
637.891,-0.15562
638.245,-0.17078
638.592,-0.17946
638.851,-0.16786
639.132,-0.15542
639.476,-0.15382
639.819,-0.15586
640.147,-0.15752
640.481,-0.15898
640.815,-0.15932
641.144,-0.15598
641.258,-0.06518
641.546,-0.04476
641.871,-0.02992
642.194,-0.01614
642.516,-0.00314
643.117,-0.04494
644.825,-0.04552
645.017,-0.04656
645.302,-0.04834
645.588,-0.05194
645.865,-0.03756
646.17,-0.04212
646.436,-0.04238
646.502,-0.04046
646.807,-0.03734
647.112,-0.08396
647.415,-0.0822
647.71,-0.08456
648.023,-0.0852
648.319,-0.08526
648.635,-0.08144
648.932,-0.0829
649.256,-0.08056
649.293,-0.08286
649.56,-0.08564
649.852,-0.06026
650.142,-0.01184
650.435,0.03452
650.728,0.0428
651.023,0.04854
651.313,0.02654
651.591,-0.01292
651.891,-0.05616
652.189,-0.0795
652.492,-0.07024
652.794,-0.07454
653.1,-0.0831
653.329,-0.10162
653.638,-0.09758
653.947,-0.10344
654.26,-0.11854
654.573,-0.13224
654.91,-0.12938
655.26,-0.11502
655.569,-0.12056
655.709,-0.1122
655.728,-0.11304
656.35,-0.1018
660.803,-0.1056
661.152,-0.1128
661.516,-0.10378
661.881,-0.08632
662.25,-0.08242
662.616,-0.08158
663.306,-0.07398
663.356,-0.07806
663.73,-0.0777
664.133,-0.07822
664.261,-0.0632
664.669,-0.05738
665.081,-0.06026
665.499,-0.06034
665.912,-0.06034
666.324,-0.07222
666.739,-0.091
666.922,-0.07998
667.336,-0.08304
667.746,-0.09398
668.159,-0.06642
668.568,-0.05274
668.977,-0.07284
669.357,-0.07086
669.74,-0.06544
670.146,-0.08376
670.553,-0.01264
670.962,0.06844
671.367,0.11494
671.609,0.11018
672.024,0.09432
672.072,0.11274
672.586,0.09042
673.117,0.0789
673.643,0.11844
674.172,0.15508
674.7,0.12808
675.225,0.11046
675.751,0.06662
675.98,0.06952
676.472,0.03762
676.997,-0.02252
677.519,-0.01038
678.043,-0.00206
678.566,-0.0339
679.086,-0.0416
679.608,0.00266
680.127,0.0241
680.564,0.07248
680.591,0.06434
681.014,0.12326
681.254,0.11948
681.677,0.04832
682.099,-0.01042
682.521,-0.0159
682.943,-0.07642
683.175,-0.10124
683.6,-0.07934
684.022,-0.08356
684.443,-0.07294
684.864,-0.08834
685.284,-0.12546
685.715,-0.16672
686.136,-0.17568
686.559,-0.19398
686.98,-0.18424
687.4,-0.19886
687.82,-0.1759
688.24,-0.1314
688.986,-0.1329
690.145,-0.13996
690.682,-0.12658
691.219,-0.14108
691.757,-0.12204
692.295,-0.11924
692.832,-0.11722
693.37,-0.1045
693.909,-0.10344
694.322,-0.09926
697.45,-0.0341
697.845,0.0501
698.27,0.11984
698.696,0.17734
699.119,0.12746
699.546,0.13332
699.736,0.1251
700.135,0.11778
700.559,0.14068
700.987,0.1908
701.412,0.1889
701.84,0.20052
701.99,0.19466
702.364,0.19502
702.793,0.21452
703.128,0.21564
703.527,0.20554
703.944,0.15232
704.374,0.12676
704.802,0.11596
705.234,0.06992
705.666,0.0133
705.9,0.02214
705.968,-0.02992
706.484,-0.08402
707,-0.059
708.163,-0.03272
723.659,0.02084
723.976,0.03572
724.131,0.07036
724.47,0.09218
724.81,0.13042
725.151,0.15812
725.496,0.21456
725.838,0.23674
726.27,0.24442
726.614,0.24006
727.003,0.20806
727.261,0.22594
727.61,0.22792
727.956,0.2276
728.302,0.22214
728.4,0.22296
728.758,0.20452
729.103,0.19688
729.459,0.19024
729.8,0.18812
730.131,0.17344
730.504,0.17684
730.851,0.18274
731.115,0.18492
734.194,0.18802
734.642,0.18692
735.091,0.15774
735.541,0.0958
735.993,0.0363
736.445,0.0211
736.899,0.01856
737.532,-0.01658
738.375,0.03898
738.83,0.04852
739.29,0.04882
739.751,0.00842
739.78,0.00564
740.25,-0.0011
740.718,-0.01536
741.179,-0.05448
741.646,-0.04852
742.587,-0.05228
742.98,-0.11262
746.664,-0.12292
748.284,-0.1083
748.614,-0.12782
749.276,-0.133
749.941,-0.1299
750.608,-0.13144
751.279,-0.16894
751.952,-0.15512
752.627,-0.16064
753.546,-0.16978
754.093,-0.1654
754.606,-0.17326
754.791,-0.1886
755.275,-0.1844
755.797,-0.14412
756.315,-0.1112
756.836,-0.09556
757.362,-0.09092
757.886,-0.07884
758.416,-0.11184
758.943,-0.13246
759.476,-0.13068
764.843,-0.06984
778.942,-0.07462
779.509,-0.07288
780.077,-0.07646
780.652,-0.08404
781.225,-0.13886
781.835,-0.13584
782.38,-0.12826
783.376,-0.13096
783.957,-0.12836
784.546,-0.13756
785.131,-0.13962
785.718,-0.1421
786.201,-0.13782
786.797,-0.13534
787.39,-0.1385
787.986,-0.1392
788.588,-0.1409
789.788,-0.15062
790.109,-0.1518
790.985,-0.15156
791.872,-0.15658
792.771,-0.16242
793.68,-0.1686
794.599,-0.18384
795.529,-0.19784
796.469,-0.22532
797.181,-0.24248
798.138,-0.24536
799.105,-0.24
800.081,-0.23278
801.066,-0.14944
802.06,-0.14356
803.062,-0.119
804.073,-0.1124
804.76,-0.10296
804.951,-0.16842
805.265,-0.15718
806.08,-0.18314
806.901,-0.19134
807.732,-0.1949
808.562,-0.1805
809.396,-0.18996
810.235,-0.19264
811.078,-0.18378
811.926,-0.18166
812.724,-0.18514
813.579,-0.1775
814.438,-0.17374
815.035,-0.18132
815.901,-0.1835
816.77,-0.17918
817.642,-0.17258
818.954,-0.15784
819.835,-0.13016
820.718,-0.11148
821.696,-0.10058
821.766,-0.08816
822.888,-0.07552
824.014,-0.08404
825.145,-0.08192
826.137,-0.08304
827.275,-0.08802
828.415,0.0182
829.56,0.11188
833.081,0.23622
835.901,0.30472
836.988,0.3482
837.184,0.28998
839.661,0.2808
839.996,0.1515
840.869,0.1188
841.743,0.10928
842.624,0.05474
843.499,0.03366
844.374,0.05934
844.673,0.0563
845.547,0.07
846.422,0.071
847.304,0.01078
848.754,0.0264
849.628,0.0508
850.502,0.0465
851.375,0.11782
851.47,0.17922
852.342,0.13762
853.214,0.07942
854.084,0.10848
854.846,0.10792
855.722,0.05154
856.59,0.08932
857.781,0.13108
864.94,0.1001
865.855,0.13946
866.773,0.17806
867.682,0.17602
868.596,0.1691
869.212,0.16118
870.12,0.09182
871.019,0.06688
871.636,0.02976
872.308,-0.00754
873.04,-0.00728
873.707,-0.04658
873.92,-0.05012
874.811,-0.04842
875.391,-0.02512
875.453,-0.04208
875.889,-0.0208
876.839,0.00474
877.784,-0.0005
878.725,0.002
879.66,-0.01832
880.591,0.02112
881.516,-0.02226
882.436,-0.0214
883.351,-0.05544
883.474,-0.05502
884.44,-0.08028
885.233,-0.08356
886.129,-0.04036
887.02,-0.03596
887.904,-0.01658
888.782,-0.0621
889.653,-0.05606
890.382,-0.09044
891.186,-0.08916
891.594,-0.10352
891.649,-0.09598
892.044,-0.09572
892.871,-0.10526
893.691,-0.11388
894.498,-0.12212
895.303,-0.13262
