Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate)
79.304,347.2567365
79.441,61.30883758
79.582,74.80512004
79.716,151.7967508
79.848,266.3825379
79.978,177.0644347
80.107,172.8316894
80.233,161.6373446
80.358,271.0092577
80.48,142.0711144
80.602,514.8381331
80.721,346.4407004
80.84,49.38033216
80.956,264.9333985
81.107,84.59083095
81.381,130.5386604
81.49,230.3122427
81.597,192.9390342
81.704,190.9781701
81.808,165.2859252
81.912,140.0415089
82.014,121.5926834
82.114,707.861052
82.217,224.4449017
82.315,103.1867654
82.411,95.51773219
82.506,28.70144057
82.6,245.3134464
82.686,48.21841928
82.783,93.19487486
82.873,101.1863909
82.962,196.6111228
83.109,44.54011394
83.189,125.6718426
83.273,73.82004777
83.357,189.4745342
83.429,41.3040162
83.6,124.0417161
83.679,154.8064745
83.756,176.3636419
83.833,198.6985031
83.909,163.4901933
84.058,49.75951852
84.129,181.4410022
84.193,60.02900355
84.533,38.59999845
84.601,94.28951946
84.668,171.9636868
84.734,3.877169662
84.8,37.25943291
84.855,45.69751701
84.92,68.40329518
84.983,85.46851353
85.108,152.1098251
85.169,56.11133448
85.232,64.65501909
85.293,60.37560185
85.352,204.3932249
85.415,84.55685758
85.48,114.6864043
85.701,215.1385719
85.758,449.6158619
85.814,133.8237205
85.835,446.2004025
85.87,219.1617949
85.926,158.6952918
85.976,3716.042671
85.981,97.61058008
86.036,156.3946153
86.091,552.3195993
86.113,2847.797787
86.205,299.4656397
86.259,82.7296505
86.313,150.7610631
86.366,117.5710828
86.423,97.10959322
86.476,427.7205424
86.529,149.2974255
86.583,175.9353974
86.634,200.5813097
86.66,51.99839925
86.759,26.39986544
86.806,30.59864828
86.812,62.73351807
86.866,64.75676952
86.895,12.26581873
86.919,227.0655396
87.022,37.14522498
87.075,128.3297496
87.183,54.13262516
87.237,67.88903156
87.291,40.90983621
87.346,26.56448704
87.4,33.07148477
87.455,42.00087409
87.51,84.42987689
87.565,307.298318
87.621,71.57644117
87.677,52.32829669
87.741,72.32458729
87.798,90.44834308
87.855,126.7279963
87.913,25.46346435
87.971,47.55133652
88.029,45.04798599
88.088,10.53531593
88.147,53.19044164
88.207,51.65500278
88.27,57.02093562
88.331,76.49638807
88.392,257.9122032
88.455,8.213501435
88.517,152.7780315
88.581,2.352073654
88.645,4.486088056
88.71,0
88.775,23.92884624
88.899,37.2498242
88.967,26.58088712
89.035,0
89.105,57.53940971
89.136,1758.380452
89.177,19.75842607
89.248,67.98124763
89.291,6831.823925
89.32,2100.850066
89.466,202.0674945
89.473,81.48040066
89.541,66.45206702
89.616,1.427412723
89.849,43.26180258
89.928,14.28296461
89.939,28.50920627
90.009,0
90.082,7.488717037
92.233,6.508666841
92.345,45.03454683
92.459,3.155409071
92.575,2.166989636
92.692,22.47904005
92.811,2.057700516
92.931,2.035647457
93.052,0
93.176,0
93.301,12.89102683
93.429,0.937669145
